id,date,area,setup_type,data_years,timeframe,symbols_roots,strategy_filters,risk_sizing,entry_rule,exit_rule,slippage,trades,sum_r,max_dd_r,avg_r,win_rate,pnl,return_pct,max_concurrent,live_compatible,question,setup,result,verdict,evidence,next_step
EXP-20260605-001,2026-06-05,Mainline stage models,trend_detect,"train 2025 -> valid 2026",2m,all roots,"positive_pre=1; positive_post=1; negative_exclusion=6; match_window=3",candidate label training,Stage 1/Level 2 trend start,Stage 2/3 downstream,none yet,,,,,,,,,live_candidate,"Create 2m all-root Cat/Light/XGB plus Level 2 manager?","aicw-os-cat/light/xgb-l1 and aicw-os-l2-three-l1","Became current Stage 1/Level 2 source",PROMISING,aicw-os-l2-three-l1-2m-p1p1n6m3-v1-ALL-2m-tr2025-v2026,Use for Stage 2/3 validation
EXP-20260606-001,2026-06-06,Terminal hold,trend_detect,"2025;2026",2m,all roots,raw Stage 2 terminal stream,no governor,Stage 2 terminal entry,terminal hold/exit model,none,,"-1024.08",1049.48,,,,,,research_sim,"Are raw Stage 2 terminal candidates good enough?","aicw-os-stage3-terminal-both","Raw streams negative overall: 2026 -767.58R; 2025 -256.50R",REJECT,Stage3 terminal metadata,Need quality selector/governor
EXP-20260606-002,2026-06-06,Live-paper baseline,trend_detect,2026,2m,all/prototype roots,live-style account governor,1k account compounding risk,Stage 2 terminal entry,terminal exit/account rules,market realism approximate,342,83.78,,,,943.49,94.35%,,live_candidate,"Can live-style loop replay 2026 with account rules?","prototype-live-stage2-terminal-runner-2026-full","Corrected estimate ending $1943.49; +94.35%; DD about $421.18; 342 closed trades",NEEDS_VALIDATION,prototype-live-stage2-terminal-runner-2026-full*,Speed up official runner and validate more years
EXP-20260606-003,2026-06-06,Symbol filter,trend_detect,"2025;2026",2m,"EMD;HO;NG;NQ;RTY;YM","score >= 0.93; risk 48-192; max_open 3; both directions; all hours",account risk windows,Stage 2 terminal entry,terminal/account exit,market realism approximate,297,152.03,,,,2009.28,,,live_candidate,"Do root groups help under fixed global rules?","score >= 0.93; risk 48-192; max open 3","Best clean group EMD HO NG NQ RTY YM: 2025 +$1228.26; 2026 +$781.02",NEEDS_VALIDATION,2026-06-06-symbol-group-filters-and-cnn-layer.md,Generate 2021-2024 terminal rows
EXP-20260606-004,2026-06-06,Profit push,trend_detect,"2025;2026",2m,"CL;EMD;ES;HO;NQ;YM","score >= 0.915; risk 60-240; max_open 2; max_daily_losses 1",account risk windows,Stage 2 terminal entry,terminal/account exit,market realism approximate,,135.51,,,,1650.66,,,live_candidate,"Can symbol groups push profit with manageable DD?","score >= 0.915; risk 60-240; max open 2; stop after 1 loss","Best balanced push CL EMD ES HO NQ YM: 2025 +$806.90; 2026 +$843.76",NEEDS_VALIDATION,2026-06-06-profit-push-symbol-groups.md,Retest with earlier years
EXP-20260606-005,2026-06-06,Pure R no-cap,trend_detect,"2025;2026",2m,"CL;EMD;HO;NG;RB","score >= 0.910; risk 72-144; no account cap; no daily stop; overlap allowed",pure R count every qualifying trade,Stage 2 terminal entry,terminal exit,market realism approximate,707,144.13,31.23,,, , ,6,research_sim,"What if every qualifying trade is counted?","No account cap; no daily stop; overlap allowed","CL EMD HO NG RB: 2025 73.60R/19.67R DD/293 trades; 2026 70.53R/31.23R DD/414 trades",PROMISING,2026-06-06-profit-push-symbol-groups.md,Use as clean pure-R candidate
EXP-20260606-006,2026-06-06,Trade-quality V1,trend_detect,"train 2025 -> valid 2026",2m,all roots,thin live-compatible selector,quality selector,Stage 2 terminal entry,terminal exit,market realism approximate,,,,,,,,,live_candidate,"Can thin live-compatible selector improve raw trades?","Terminal rows only","Mixed transfer; reverse weak/tiny",REJECT,aicw-terminal-trade-quality-v1-2025-2026,Use richer Stage 2 features
EXP-20260606-007,2026-06-06,Trade-quality V2,trend_detect,"train 2025 -> valid 2026; reverse 2026 -> 2025",2m,"CL;EMD;HO;NG;RB","score >= 0.910; risk 72-144; quality >= -0.073264; top1_per_entry_time",quality selector on Stage 2 features,Stage 2 terminal entry after quality filter,terminal exit,market realism approximate,305,117.51,19.39,0.385,27.54%,,,5,live_candidate,"Does Stage 2 feature selector improve selection?","Stage 2 Cat/Light/XGB scores; L1 agreement; confirmation offset","2025->2026 117.51R/19.39R DD; reverse clean group 11.15R/21.30R DD",PROMISING,2026-06-06-terminal-trade-quality-layer.md,Train on 2021-2025 and test 2026
EXP-20260606-008,2026-06-06,Exit manager,trend_detect,2026,2m,all roots,aicw-os-stage3-trend-manager-mid-v1-2m-m180-v2026,model R sizing,Stage 2 terminal entry,Stage 3 exit manager,none,4493,-208.14,221.75,,,,,,research_sim,"Are existing Stage 3 exit managers the breakthrough?","aicw-os-stage3-trend-manager artifacts","Mid manager improved bad baseline by 118.05R but full 2026 stream still negative",REJECT,2026-06-06-terminal-trade-quality-layer.md,Focus on entry quality first
EXP-20260606-009,2026-06-06,Stage2 target + Stage3 bracket,trend_detect,"train 2025 threshold 2025 -> valid 2026",2m,"CL;EMD;HO;NG;RB","stage2_score >= 0.910; risk 72-144; predicted_mfe >= 1.25; target_factor 0.75; min_target 1.0R; max_target 1.5R; early momentum/giveback fade",swing/ATR hard stop; 3+3 tick slippage,Stage 2 confirmed event next candle open,Predicted take-profit bracket plus hard stop plus early fade,3 entry ticks + 3 exit ticks,331,5.09,17.85,0.015,39.58%,,,4,live_candidate,Can Stage 2 predict target and Stage 3 trade a fixed TP bracket?,aicw-stage2-target-stage3-bracket-v1-2m-tr2025-v2026,Best valid bracket result was only +5.09R/17.85R DD versus same-row terminal +94.39R/35.25R DD; target/fade too conservative,REJECT,2026-06-06-stage2-target-stage3-bracket.md,Keep target-forecast idea but do not promote this fixed TP/fade version
EXP-20260606-010,2026-06-06,Stage3 candle policy,trend_detect,"train 2025 threshold 2025 -> valid 2026",2m,"CL;EMD;HO;NG;RB","stage2_score >= 0.910; risk 72-144; no fixed strategy stop; no fixed TP; candle-by-candle hold/exit; disaster_stop=0",initial swing/ATR distance used only as R unit,Stage 2 confirmed event next candle open,Model decides hold/exit every candle; time exit if never exits,3 entry ticks + 3 exit ticks,414,-5.14,112.42,-0.012,47.10%,,,8,live_candidate,Can Stage 3 manage each trade purely candle by candle with no fixed stop or TP?,aicw-stage3-candle-policy-v1-2m-tr2025-v2026,Best valid policy was -5.14R/112.42R DD versus same-row terminal +70.53R/31.23R DD; no-stop time-exit baseline was -17.75R/161.93R DD,REJECT,2026-06-06-stage3-candle-policy.md,Next try dynamic protective stop updated every candle rather than no stop
